timestamp,source,destination,delay,success,crdt_enabled,throughput,packet_size,cumulative_packets,bytes_delivered
1742231033.9824896,sta1,sta3,3.681647300720215,True,True,0.1,278,1,278
1742231035.2182798,sta1,sta3,4.904355764389038,True,True,0.2,278,2,556
1742231035.3592684,sta4,sta2,1.362097978591919,True,True,0.1,277,1,277
1742231036.6600413,sta3,sta1,3.8201515674591064,True,True,0.1,278,1,278
1742231036.685275,sta1,sta3,6.406946420669556,True,True,0.3,278,3,834
1742231036.690426,sta5,sta3,1.4565963745117188,True,True,0.4,276,4,1110
1742231037.9580412,sta4,sta1,3.937243700027466,True,True,0.2,277,2,555
1742231037.9756248,sta2,sta4,6.362212657928467,True,True,0.1,278,1,278
1742231040.4298687,sta5,sta4,0.12506365776062012,True,True,0.2,279,2,557
1742231041.7607348,sta5,sta1,6.550246477127075,True,True,0.3,278,3,833
1742231041.7877781,sta1,sta3,1.3943345546722412,True,True,0.5,279,5,1389
1742231041.7994163,sta1,sta4,11.517098903656006,True,True,0.3,278,3,835
1742231043.0345614,sta5,sta2,7.787708759307861,True,True,0.2,277,2,554
1742231043.067438,sta2,sta1,6.354748725891113,True,True,0.4,279,4,1112
1742231043.0900257,sta1,sta4,2.6775412559509277,True,True,0.4,279,4,1114
1742231043.093901,sta3,sta4,5.156150817871094,True,True,0.5,279,5,1393
1742231043.1003695,sta1,sta4,7.73576545715332,True,True,0.6,279,6,1672
1742231044.1595564,sta5,sta3,3.831732988357544,True,True,0.5,279,6,1668
1742231044.2047596,sta4,sta1,5.089768409729004,True,True,0.5,279,5,1391
1742231045.3728898,sta2,sta3,3.5556061267852783,True,True,0.5,278,7,1946
1742231045.3997707,sta2,sta1,13.780537128448486,True,True,0.6,278,6,1669
1742231045.4006193,sta4,sta1,6.302264451980591,True,True,0.7,279,7,1948
1742231046.8505995,sta3,sta1,3.8201982975006104,True,True,0.7,279,8,2227
1742231046.9006042,sta1,sta3,1.4565620422363281,True,True,0.4,279,8,2225
1742231048.1869128,sta2,sta1,6.396682977676392,True,True,0.7,278,9,2505
1742231048.2226307,sta2,sta4,11.553832292556763,True,True,0.6,279,7,1951
1742231048.2245686,sta1,sta4,12.88517141342163,True,True,0.7,278,8,2229
1742231048.2666135,sta4,sta5,4.074367046356201,True,True,0.1,279,1,279
1742231050.3337831,sta5,sta3,15.077106714248657,True,True,0.5,277,9,2502
1742231050.3924832,sta3,sta2,7.348529815673828,True,True,0.2,278,3,832
1742231050.6455727,sta2,sta5,19.02688717842102,True,True,0.2,278,2,557
1742231051.9741771,sta5,sta1,11.640342950820923,True,True,0.7,279,10,2784
1742231052.0303755,sta1,sta5,16.65996551513672,True,True,0.3,279,3,836
1742231052.0311406,sta1,sta4,1.481393814086914,True,True,0.6,278,9,2507
1742231052.0318053,sta2,sta5,15.337703704833984,True,True,0.4,278,4,1114
1742231052.0323958,sta2,sta4,5.186007499694824,True,True,0.7,279,10,2786
1742231052.0329468,sta3,sta5,14.067368745803833,True,True,0.5,279,5,1393
1742231053.3074243,sta4,sta2,3.048678159713745,True,True,0.2,278,4,1110
1742231053.3095975,sta5,sta2,7.900221824645996,True,True,0.3,279,5,1389
1742231053.365348,sta5,sta4,7.981701850891113,True,True,0.5,278,11,3064
1742231053.389872,sta2,sta4,11.625726699829102,True,True,0.6,278,12,3342
1742231053.399307,sta1,sta4,2.8155808448791504,True,True,0.7,279,13,3621
1742231053.4104433,sta2,sta5,21.792621850967407,True,True,0.6,277,6,1670
1742231055.425832,sta5,sta3,4.9094953536987305,True,True,0.3,279,10,2781
1742231055.4879546,sta4,sta2,11.27234673500061,True,True,0.4,279,6,1668
1742231055.5683239,sta1,sta3,4.93483567237854,True,True,0.4,278,11,3059
1742231055.609056,sta2,sta1,3.582637310028076,True,True,0.4,278,11,3062
1742231055.673874,sta3,sta2,17.69140601158142,True,True,0.5,279,7,1947
1742231055.7254155,sta5,sta4,5.290848731994629,True,True,0.8,277,14,3898
1742231055.7265728,sta1,sta4,10.208739757537842,True,True,0.9,279,15,4177
1742231055.7456765,sta4,sta5,21.768842220306396,True,True,0.7,278,7,1948
1742231055.7488835,sta2,sta5,3.7319698333740234,True,True,0.8,279,8,2227
1742231055.7567627,sta3,sta5,22.907288789749146,True,True,0.9,278,9,2505
1742231057.2777638,sta3,sta1,3.998290777206421,True,True,0.4,279,12,3341
1742231057.320746,sta2,sta4,10.438340902328491,True,True,1.0,279,16,4456
1742231057.32498,sta2,sta4,5.358748197555542,True,True,1.1,279,17,4735
1742231057.3318038,sta2,sta4,20.6823627948761,True,True,1.2,277,18,5012
1742231058.483574,sta4,sta1,8.086972713470459,True,True,0.4,279,13,3620
1742231058.5147595,sta5,sta4,2.9578959941864014,True,True,1.1,278,19,5290
1742231058.5171483,sta5,sta4,8.051712036132812,True,True,1.2,279,20,5569
1742231058.5248387,sta3,sta4,10.286137819290161,True,True,1.3,279,21,5848
1742231058.527459,sta5,sta4,18.252441883087158,True,True,1.4,278,22,6126
1742231058.5547485,sta1,sta5,2.870706796646118,True,True,0.9,279,10,2784
1742231058.5559828,sta4,sta5,14.4061758518219,True,True,1.0,279,11,3063
1742231058.5571828,sta1,sta5,18.131091356277466,True,True,1.1,279,12,3342
1742231060.5648873,sta2,sta1,3.255058526992798,True,True,0.5,279,14,3899
1742231060.6708062,sta2,sta3,13.761973857879639,True,True,0.3,279,12,3338
1742231060.6759164,sta2,sta3,3.343778371810913,True,True,0.4,279,13,3617
1742231060.8007667,sta5,sta2,15.433616399765015,True,True,0.5,278,8,2225
1742231060.81064,sta1,sta2,20.379741430282593,True,True,0.6,279,9,2504
1742231060.8254735,sta4,sta3,5.351774215698242,True,True,0.5,279,14,3896
1742231060.8807425,sta1,sta5,5.214169502258301,True,True,1.1,279,13,3621
1742231060.8813684,sta3,sta5,12.710333347320557,True,True,1.2,279,14,3900
1742231062.3692524,sta3,sta1,3.9350757598876953,True,True,0.5,279,15,4178
1742231062.3708086,sta2,sta1,10.381840229034424,True,True,0.6,279,16,4457
1742231062.3775382,sta4,sta1,12.012664318084717,True,True,0.7,279,17,4736
1742231062.3921463,sta4,sta3,1.8161733150482178,True,True,0.6,279,15,4175
1742231062.4113417,sta3,sta4,9.008077621459961,True,True,1.3,279,23,6405
1742231062.4118013,sta3,sta4,14.231806755065918,True,True,1.4,278,24,6683
1742231063.6167667,sta2,sta1,16.68759846687317,True,True,0.8,279,18,5015
1742231063.6177564,sta5,sta1,7.984273910522461,True,True,0.9,277,19,5292
1742231063.6194906,sta4,sta1,3.100891351699829,True,True,1.0,279,20,5571
1742231065.6306515,sta1,sta3,4.789065599441528,True,True,0.5,279,16,4454
1742231065.6689553,sta2,sta1,3.2696878910064697,True,True,1.0,279,21,5850
1742231065.6965265,sta3,sta2,22.595458030700684,True,True,0.3,278,10,2782
1742231065.7049212,sta4,sta2,10.211513042449951,True,True,0.4,279,11,3061
1742231065.7783775,sta1,sta3,4.910300970077515,True,True,0.6,279,17,4733
1742231065.7814007,sta4,sta3,10.337440967559814,True,True,0.7,279,18,5012
1742231065.8474796,sta5,sta4,20.4316987991333,True,True,1.0,279,25,6962
1742231065.8994868,sta1,sta2,30.523587226867676,True,True,0.5,279,12,3340
1742231065.911027,sta4,sta2,5.324695825576782,True,True,0.6,279,13,3619
1742231066.002695,sta5,sta4,0.20444345474243164,True,True,1.1,279,26,7241
1742231067.465592,sta5,sta1,16.93344521522522,True,True,1.0,278,22,6128
1742231067.4810534,sta4,sta3,1.799182415008545,True,True,0.8,278,19,5290
1742231067.512398,sta3,sta4,14.200727462768555,True,True,0.9,278,27,7519
1742231067.5156772,sta2,sta4,5.154871702194214,True,True,1.0,279,28,7798
1742231068.714042,sta5,sta1,8.002564668655396,True,True,1.0,279,23,6407
1742231068.7819335,sta3,sta5,35.91011309623718,True,True,0.3,278,15,4178
1742231070.7887113,sta2,sta1,3.3011112213134766,True,True,1.0,279,24,6686
1742231070.834435,sta4,sta2,15.415417909622192,True,True,0.5,279,14,3898
1742231070.931813,sta2,sta1,3.4021525382995605,True,True,1.1,279,25,6965
1742231070.9345732,sta3,sta1,2.1823112964630127,True,True,1.2,279,26,7244
1742231070.9368515,sta2,sta1,8.517252683639526,True,True,1.3,278,27,7522
1742231070.9460769,sta1,sta4,5.01411771774292,True,True,0.7,279,29,8077
1742231070.9516225,sta3,sta4,7.349625825881958,True,True,0.8,279,30,8356
1742231070.97508,sta3,sta2,38.090250730514526,True,True,0.6,278,15,4176
1742231072.5694256,sta3,sta1,3.8926470279693604,True,True,1.1,278,28,7800
1742231072.6254616,sta2,sta4,5.1827452182769775,True,True,0.7,279,31,8635
1742231072.6438484,sta1,sta5,27.14362645149231,True,True,0.2,279,16,4457
1742231072.6469789,sta4,sta5,28.476300954818726,True,True,0.3,279,17,4736
1742231073.810003,sta5,sta2,18.187290906906128,True,True,0.7,279,16,4455
1742231073.817968,sta4,sta2,8.173206090927124,True,True,0.8,277,17,4732
1742231073.8534567,sta4,sta1,3.1167426109313965,True,True,0.9,277,29,8077
1742231073.8542078,sta5,sta1,8.026254177093506,True,True,1.0,279,30,8356
1742231073.887984,sta5,sta4,2.998208522796631,True,True,0.8,279,32,8914
1742231075.9493692,sta4,sta5,25.6114399433136,True,True,0.4,279,18,5015
1742231075.999442,sta1,sta3,4.848878622055054,True,True,0.2,278,20,5568
1742231076.0395317,sta5,sta4,20.45069909095764,True,True,0.7,279,33,9193
1742231076.0538857,sta5,sta2,15.400352716445923,True,True,0.5,279,18,5011
1742231076.0545652,sta1,sta2,10.06868600845337,True,True,0.6,279,19,5290
1742231076.2482553,sta4,sta3,0.36244988441467285,True,True,0.3,279,21,5847
1742231077.7658472,sta2,sta1,10.296833276748657,True,True,0.9,279,31,8635
1742231077.7733684,sta4,sta1,1.8668413162231445,True,True,1.0,279,32,8914
1742231077.7860346,sta2,sta3,5.173733949661255,True,True,0.3,279,22,6126
1742231077.8287113,sta2,sta5,15.447307109832764,True,True,0.5,279,19,5294
1742231078.968778,sta3,sta2,10.267745733261108,True,True,0.7,279,20,5569
1742231079.0062137,sta3,sta1,30.808012008666992,True,True,1.0,279,33,9193
1742231080.966381,sta5,sta3,4.9345643520355225,True,True,0.4,278,23,6404
1742231080.9707613,sta4,sta3,5.039838790893555,True,True,0.5,278,24,6682
1742231081.047438,sta2,sta5,39.30558967590332,True,True,0.5,279,20,5573
1742231081.0499504,sta3,sta5,43.13506817817688,True,True,0.6,278,21,5851
1742231081.0523255,sta3,sta5,2.041630983352661,True,True,0.7,279,22,6130
1742231081.0609577,sta4,sta5,41.97816324234009,True,True,0.8,278,23,6408
1742231081.0650032,sta3,sta5,12.348818302154541,True,True,0.9,279,24,6687
1742231081.1271062,sta5,sta4,5.135280132293701,True,True,0.4,279,34,9472
1742231081.13062,sta5,sta4,10.220162868499756,True,True,0.5,279,35,9751
1742231082.876409,sta5,sta3,17.013562440872192,True,True,0.6,279,25,6961
1742231082.8864193,sta1,sta3,6.706701755523682,True,True,0.7,279,26,7240
1742231082.9083831,sta1,sta4,27.175039052963257,True,True,0.5,279,36,10030
1742231082.9359093,sta3,sta5,29.60165572166443,True,True,0.8,278,25,6965
1742231082.9396267,sta4,sta5,43.89369583129883,True,True,0.9,278,26,7243
1742231084.1116772,sta5,sta2,23.42508602142334,True,True,0.4,279,21,5848
1742231084.125292,sta3,sta2,10.298436403274536,True,True,0.5,279,22,6127
1742231084.1444345,sta2,sta1,6.369545936584473,True,True,0.4,279,34,9472
1742231086.1345606,sta4,sta2,25.591500759124756,True,True,0.4,279,23,6406
1742231086.1819441,sta1,sta3,4.80021595954895,True,True,0.7,279,27,7519
1742231086.1896563,sta2,sta3,28.920002698898315,True,True,0.8,279,28,7798
1742231086.2008102,sta2,sta3,8.3818039894104,True,True,0.9,279,29,8077
1742231086.2247589,sta3,sta1,12.367725610733032,True,True,0.5,278,35,9750
1742231086.248804,sta5,sta4,10.23742389678955,True,True,0.4,279,37,10309
1742231086.263871,sta3,sta2,2.112710475921631,True,True,0.5,279,24,6685
1742231086.446301,sta3,sta2,7.39051628112793,True,True,0.6,278,25,6963
1742231086.4496596,sta1,sta2,35.84386110305786,True,True,0.7,279,26,7242
1742231086.5277874,sta1,sta5,5.170079469680786,True,True,0.9,278,27,7521
1742231087.991877,sta4,sta3,17.223360061645508,True,True,0.8,279,30,8356
1742231088.0067616,sta1,sta3,27.224797010421753,True,True,0.9,279,31,8635
1742231088.015133,sta5,sta3,1.760232925415039,True,True,1.0,279,32,8914
1742231088.0506573,sta2,sta5,5.202208757400513,True,True,0.9,278,28,7799
1742231088.0549488,sta3,sta5,9.118289709091187,True,True,1.0,279,29,8078
1742231088.065465,sta1,sta4,1.6258764266967773,True,True,0.5,277,38,10586
1742231089.2585716,sta1,sta2,23.247945070266724,True,True,0.7,279,27,7521
1742231089.2847002,sta2,sta1,6.425148248672485,True,True,0.3,279,36,10029
1742231091.2458663,sta1,sta2,20.110073804855347,True,True,0.8,278,28,7799
1742231091.2945225,sta4,sta3,10.255694150924683,True,True,0.9,278,33,9192
1742231091.2963903,sta4,sta3,10.321727752685547,True,True,1.0,279,34,9471
1742231091.2974474,sta1,sta3,15.045052289962769,True,True,1.1,279,35,9750
1742231091.3303,sta4,sta1,20.494746685028076,True,True,0.4,279,37,10308
1742231091.6020403,sta4,sta3,5.478696584701538,True,True,1.2,279,36,10029
1742231093.1594229,sta3,sta1,3.9203944206237793,True,True,0.5,278,38,10586
1742231093.1864552,sta4,sta3,1.9544410705566406,True,True,1.1,278,37,10307
1742231094.4157283,sta2,sta1,6.430038928985596,True,True,0.5,279,39,10865
1742231096.315012,sta4,sta1,20.456562995910645,True,True,0.5,279,40,11144
1742231096.3177733,sta5,sta1,4.984788179397583,True,True,0.6,279,41,11423
1742231096.329893,sta5,sta1,10.162935495376587,True,True,0.7,278,42,11701
1742231096.3553147,sta3,sta2,7.088855266571045,True,True,0.5,279,29,8078
1742231096.3705904,sta2,sta5,23.78043270111084,True,True,0.4,278,30,8356
1742231096.3711748,sta4,sta5,25.575568675994873,True,True,0.5,279,31,8635
1742231096.3713014,sta1,sta5,30.47983169555664,True,True,0.6,279,32,8914
1742231096.4004135,sta1,sta3,4.745548486709595,True,True,0.9,280,38,10587
1742231096.4027514,sta4,sta3,5.184949159622192,True,True,1.0,279,39,10866
1742231096.4225047,sta2,sta1,3.1450819969177246,True,True,0.8,280,43,11981
1742231096.4539022,sta3,sta4,22.653006315231323,True,True,0.2,279,39,10865
1742231096.4567769,sta3,sta4,12.270041704177856,True,True,0.3,278,40,11143
1742231096.496852,sta5,sta2,5.219001770019531,True,True,0.4,279,30,8357
1742231096.499074,sta1,sta2,9.983857870101929,True,True,0.5,278,31,8635
1742231096.502724,sta5,sta2,10.299874544143677,True,True,0.6,279,32,8914
1742231096.7304962,sta5,sta2,5.420956611633301,True,True,0.7,278,33,9192
1742231096.8130078,sta3,sta4,2.4030117988586426,True,True,0.4,279,41,11422
1742231096.819506,sta5,sta4,36.08847975730896,True,True,0.5,279,42,11701
1742231096.8433897,sta2,sta5,13.949445486068726,True,True,0.6,279,33,9193
1742231096.846394,sta4,sta5,0.5473415851593018,True,True,0.7,279,34,9472
1742231098.348803,sta4,sta3,7.106106519699097,True,True,0.8,278,40,11144
1742231098.3693714,sta5,sta4,1.8965458869934082,True,True,0.5,280,43,11981
1742231098.3977005,sta1,sta5,11.91488242149353,True,True,0.6,279,35,9751
1742231101.4016705,sta1,sta3,20.08293318748474,True,True,0.6,279,41,11423
1742231101.4044511,sta2,sta3,23.65996289253235,True,True,0.7,279,42,11702
1742231101.4775875,sta3,sta2,7.027560472488403,True,True,0.6,279,34,9471
1742231101.4824505,sta3,sta2,42.94739317893982,True,True,0.7,279,35,9750
1742231101.483649,sta3,sta5,22.50185513496399,True,True,0.7,279,36,10030
1742231101.4864485,sta3,sta5,17.35657024383545,True,True,0.8,279,37,10309
1742231101.490671,sta3,sta5,37.86576271057129,True,True,0.9,279,38,10588
1742231101.5006585,sta2,sta5,3.1454579830169678,True,True,1.0,280,39,10868
1742231101.5045052,sta1,sta5,9.896447896957397,True,True,1.1,280,40,11148
1742231101.5578632,sta5,sta3,10.202252864837646,True,True,0.8,279,43,11981
1742231101.5601566,sta1,sta3,4.725961208343506,True,True,0.9,280,44,12261
1742231101.6070576,sta1,sta2,25.335096836090088,True,True,0.8,279,36,10029
1742231101.6077118,sta3,sta4,2.057048797607422,True,True,0.6,279,44,12260
1742231101.6086998,sta4,sta2,0.13711881637573242,True,True,0.9,280,37,10309
1742231101.8785799,sta4,sta2,15.731655836105347,True,True,1.0,279,38,10588
1742231101.931554,sta3,sta4,2.4336071014404297,True,True,0.7,280,45,12540
